bloomberg_ticker,ticker
AAPL US Equity,AAPL
MSFT US Equity,MSFT
NVDA US Equity,NVDA
AMD US Equity,AMD
ORCL US Equity,ORCL
CRM US Equity,CRM
ADBE US Equity,ADBE
INTC US Equity,INTC
JPM US Equity,JPM
GS US Equity,GS
MS US Equity,MS
BAC US Equity,BAC
C US Equity,C
WFC US Equity,WFC
AXP US Equity,AXP
JNJ US Equity,JNJ
PFE US Equity,PFE
MRK US Equity,MRK
ABBV US Equity,ABBV
UNH US Equity,UNH
TMO US Equity,TMO
AMZN US Equity,AMZN
TSLA US Equity,TSLA
HD US Equity,HD
MCD US Equity,MCD
NKE US Equity,NKE
SBUX US Equity,SBUX
PG US Equity,PG
KO US Equity,KO
PEP US Equity,PEP
WMT US Equity,WMT
COST US Equity,COST
XOM US Equity,XOM
CVX US Equity,CVX
COP US Equity,COP
SLB US Equity,SLB
EOG US Equity,EOG
BA US Equity,BA
CAT US Equity,CAT
GE US Equity,GE
HON US Equity,HON
UPS US Equity,UPS
GOOGL US Equity,GOOGL
META US Equity,META
NFLX US Equity,NFLX
DIS US Equity,DIS
NEE US Equity,NEE
DUK US Equity,DUK
LIN US Equity,LIN
APD US Equity,APD
